standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide
Cc1ccc(C)c(CN2C(=O)c3ccccc3S(=O)c3ccc(C(=O)N4CCN(c5ccc(F)cc5)CC4)cc32)c1,1.2638381401074452,HIT102909623,Cc1ccc(C)c(CN2C(=O)c3ccccc3S(=O)c3ccc(C(=O)N4CCN(c5ccc(F)cc5)CC4)cc32)c1,-9.6,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:16616,Cc1ccc(C)c(CN2C(=O)c3ccccc3[S@](=O)c3ccc(C(=O)N4CCN(c5ccc(F)cc5)CC4)cc32)c1,-6.41029
CN1C(=O)C2(c3ccccc31)c1[nH]c3ccccc3c1CCN2c1nc2ccccc2[nH]1,1.1363208012869876,HIT101184986,CN1C(=O)C2(c3ccccc31)c1[nH]c3ccccc3c1CCN2c1nc2ccccc2[nH]1,-9.5,ligprep_chemdiv-stock1_04_414266_split-10_9.sdf:40745,CN1C(=O)[C@]2(c3ccccc31)c1[nH]c3ccccc3c1CCN2c1nc2ccccc2[nH]1,-5.85995
COc1ccc(-c2nn(-c3ccccc3)cc2C2Nc3ccccc3-c3cc(C)nn32)cc1,0.43501807033174067,HIT101280549,COc1ccc(-c2nn(-c3ccccc3)cc2C2Nc3ccccc3-c3cc(C)nn32)cc1,-9.4,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:26150,COc1ccc(-c2nn(-c3ccccc3)cc2[C@H]2Nc3ccccc3-c3cc(C)nn32)cc1,-7.08959
Cc1ccc(-c2c(C(=O)Nc3cccc(-c4nc5ccc(C)cc5o4)c3)oc(=O)c3ccccc23)cc1,2.3849110167546788,HIT104798255,Cc1ccc(-c2c(C(=O)Nc3cccc(-c4nc5ccc(C)cc5o4)c3)oc(=O)c3ccccc23)cc1,-9.4,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:30619,Cc1ccc(-c2c(C(=O)Nc3cccc(-c4nc5ccc(C)cc5o4)c3)oc(=O)c3ccccc23)cc1,-6.40584
Cc1cc(C)nc(-n2c(Nc3ccc4ccccc4c3)cc(=O)c3c(C)n(-c4ccc5ccccc5c4)c(=O)nc32)n1,1.0285215649289088,HIT100609419,Cc1cc(C)nc(-n2c(Nc3ccc4ccccc4c3)cc(=O)c3c(C)n(-c4ccc5ccccc5c4)c(=O)nc32)n1,-9.3,ligprep_chemdiv-stock1_01_400000_split-10_3.sdf:20686,Cc1cc(C)nc(-n2c(Nc3ccc4ccccc4c3)cc(=O)c3c(C)n(-c4ccc5ccccc5c4)c(=O)nc32)n1,-5.91336
Cc1ccc(-c2c(C(=O)Nc3cccc(-c4nc5ncccc5o4)c3C)oc(=O)c3ccccc23)cc1,0.7219877344170385,HIT101246699,Cc1ccc(-c2c(C(=O)Nc3cccc(-c4nc5ncccc5o4)c3C)oc(=O)c3ccccc23)cc1,-9.3,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:30616,Cc1ccc(-c2c(C(=O)Nc3cccc(-c4nc5ncccc5o4)c3C)oc(=O)c3ccccc23)cc1,-6.53428
CCc1ccc2oc(-c3ccc(C)c(NC(=O)c4oc(=O)c5ccccc5c4-c4ccc(C)cc4)c3)nc2c1,1.5216876609330519,HIT104509747,CCc1ccc2oc(-c3ccc(C)c(NC(=O)c4oc(=O)c5ccccc5c4-c4ccc(C)cc4)c3)nc2c1,-9.3,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:30621,CCc1ccc2oc(-c3ccc(C)c(NC(=O)c4oc(=O)c5ccccc5c4-c4ccc(C)cc4)c3)nc2c1,-6.2846
Cc1ccc2nc(-c3cccc(NC(=O)c4oc(=O)c5ccccc5c4-c4ccccc4)c3)oc2c1,0.9226969134914592,HIT107253188,Cc1ccc2nc(-c3cccc(NC(=O)c4oc(=O)c5ccccc5c4-c4ccccc4)c3)oc2c1,-9.3,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:30661,Cc1ccc2nc(-c3cccc(NC(=O)c4oc(=O)c5ccccc5c4-c4ccccc4)c3)oc2c1,-5.912
O=C(c1ccc(F)cc1)c1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccccc2)cc1,0.8388438460166469,HIT102051222,O=C(c1ccc(F)cc1)c1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccccc2)cc1,-9.2,ligprep_chemdiv-stock1_01_400000_split-10_1.sdf:9915,O=C(c1ccc(F)cc1)c1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccccc2)cc1,-6.14795
Cc1ccc(N2C(=O)C(Nc3ccccc3)=C(Sc3ccc(NC(=O)c4ccc5c(c4)OCO5)cc3)C2=O)cc1C,1.493981880665257,HIT102082560,Cc1ccc(N2C(=O)C(Nc3ccccc3)=C(Sc3ccc(NC(=O)c4ccc5c(c4)OCO5)cc3)C2=O)cc1C,-9.2,ligprep_chemdiv-stock1_04_414266_split-10_3.sdf:26499,Cc1ccc(N2C(=O)C(Nc3ccccc3)=C(Sc3ccc(NC(=O)c4ccc5c(c4)OCO5)cc3)C2=O)cc1C,-7.31146
